# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Aug 2026
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2026-04).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
4  1  0.2991991  0.0559928  0.2818199  0.1556758 -0.0493088 -0.4498783  0.0027313  0.0385078  0.0482896 -0.0465746 -0.0214408 -0.1465209  0.0313094 -0.0490948 -0.0950105 -0.0768062  0.2605719  0.3954666  0.0048996 -0.0058972 -0.0163050  0.0045229 -0.0322768  0.0267362 -0.0729007  0.0493486  0.0033965 -0.0046464 -0.0001745 -0.0017924 -0.0001506  0.0001149  0.0047167  0.0077739 -0.0005710  0.0004101 -0.0007426  0.0119578  0.0007078  0.0004063  0.0000910  0.0023778  0.0008453 -0.0007869 -0.0023810  0.0030569  0.0002983  0.0001081 -0.0229130  0.0026362 -0.0152852 -0.0117670  0.0454745  0.1687160  0.0065512 -0.0064383  0.0069560 -0.0022818 -0.0138175  0.0144890  0.0005914 -0.0119831 -0.0003408  0.0000009 -0.0012424  0.0010535  0.0001237  0.0005114 -0.0042136  0.0074430  0.0005404  0.0000925 -0.0022440 -0.0001104  0.0085711  0.0044223
4  2  0.0420986  0.2059164  0.0339838 -0.0681491  0.0035431  0.0111440  0.0147705  0.0210840 -0.0735934 -0.2131962  0.0310815  0.0011739  0.0457477  0.0018987  0.0123221 -0.0055677 -0.0087167 -0.0232549 -0.0046344  0.0025373  0.0578642  0.1089790  0.0007746 -0.0073017  0.0014083 -0.0007644  0.0135300  0.0124830 -0.0021333 -0.0024078 -0.0001529  0.0005743  0.0013142 -0.0001062 -0.0013479 -0.0019375  0.0001827  0.0018440 -0.0007092 -0.0010103 -0.0001825  0.0002417 -0.0000402 -0.0002300  0.0002657 -0.0008487 -0.0008783  0.0001126 -0.0377466  0.0068249  0.0020064  0.0075012  0.0048306  0.0045367 -0.0009554 -0.0051616  0.0391155  0.0161443 -0.0012453 -0.0056101 -0.0005469 -0.0019297  0.0009636 -0.0003056  0.0008441 -0.0008762  0.0001967  0.0000563  0.0023055  0.0011472 -0.0007885  0.0004266 -0.0012373  0.0031613  0.0001621  0.0002420
4  3 -0.1379037  0.0147652 -0.4342305 -0.0579728  0.0193899  0.0043980 -0.0121878  0.0227165  0.0352217 -0.0070967  0.0016972 -0.0391523  0.0006468  0.0164066  0.0061165  0.0051617 -0.0173016  0.0017874  0.0034603 -0.0060802 -0.0137733  0.0118675  0.0116924  0.0167337 -0.0024021 -0.0018774  0.0017293  0.0017288  0.0007547 -0.0006653 -0.0009284 -0.0006561 -0.0013624 -0.0019473  0.0010351 -0.0001043 -0.0001364 -0.0021091  0.0006902 -0.0002733 -0.0005641  0.0006013  0.0000917  0.0003961  0.0000512 -0.0023013  0.0005210 -0.0000479  0.0080689 -0.0070411  0.0033294 -0.0136184 -0.0001981 -0.0002819  0.0019138  0.0012354 -0.0085641  0.0129517 -0.0006135  0.0143848  0.0007496  0.0023118 -0.0005462 -0.0004589 -0.0000670 -0.0003838  0.0003497 -0.0000007 -0.0001780 -0.0021441  0.0003884  0.0003025  0.0013459 -0.0010213 -0.0025466 -0.0002822
5  0  0.0985889        NaN -0.1902179        NaN  0.0658185        NaN  0.0245441        NaN -0.0323152        NaN -0.4055280        NaN -0.0262993        NaN -0.1025891        NaN -0.1758411        NaN  0.0017174        NaN -0.0036782        NaN  0.1378462        NaN -0.0098670        NaN  0.0038495        NaN -0.0028858        NaN -0.0050415        NaN -0.0019629        NaN -0.0008647        NaN -0.0023094        NaN  0.0001661        NaN  0.0036529        NaN  0.0060474        NaN  0.0012641        NaN  0.0014465        NaN -0.0048519        NaN -0.0717532        NaN -0.1114698        NaN  0.0033127        NaN  0.0046728        NaN  0.0618341        NaN  0.0048521        NaN -0.0005383        NaN -0.0011826        NaN  0.0033775        NaN -0.0020510        NaN  0.0004427        NaN  0.0058791        NaN  0.0107579        NaN
5  1  0.1936581 -0.5810036  0.0448633 -0.0746375 -0.0162327 -0.0344542  0.0137814 -0.0039342 -0.4092869  1.0094956 -0.0122923 -0.0113903 -0.4232404  0.8113040  0.0118400 -0.0039782 -0.0040372  0.0195896  0.0193688 -0.0162389  0.0223169 -0.2945925  0.0207519  0.0138259  0.0026709 -0.0008579  0.0122098  0.0133951 -0.0006531  0.0097869 -0.0005619  0.0011104 -0.0034761  0.0028518 -0.0031559 -0.0071995 -0.0008214 -0.0013401 -0.0007919 -0.0058709  0.0015681 -0.0053658  0.0002824 -0.0000733  0.0026106 -0.0036682  0.0007174  0.0019095  0.0185721  0.0451894 -0.0206234 -0.0137325  0.0043624  0.0215956  0.0097394  0.0166396 -0.0146806 -0.0706721  0.0186718  0.0137535 -0.0015309 -0.0000515 -0.0014330 -0.0008753  0.0029315 -0.0002315  0.0003091 -0.0001774  0.0026751 -0.0004345  0.0003293  0.0011345 -0.0038939  0.0064118  0.0000891 -0.0007783
5  2  0.0570184  0.0952195 -0.1127099 -0.0339471  0.0278253 -0.0480124 -0.0111427  0.0148679 -0.0034066  0.0231573 -0.1123255  0.0407647  0.0520990  0.0355453  0.0237753 -0.0275358 -0.0039082  0.0409435 -0.0071110 -0.0055212  0.0196668  0.0237279  0.0625952 -0.0244008  0.0392743  0.0095341  0.0027651 -0.0019375 -0.0002809  0.0016565 -0.0000023  0.0012572  0.0054634  0.0047256 -0.0009166 -0.0002889  0.0070700  0.0010937 -0.0005017 -0.0004607 -0.0001896 -0.0012350  0.0001248 -0.0002065 -0.0003771 -0.0026498 -0.0002291 -0.0005472  0.0138552 -0.0102146 -0.0174787 -0.0054540 -0.0159175 -0.0026352  0.0077892 -0.0034539  0.0029868  0.0135183  0.0322340 -0.0079824  0.0028213  0.0039277  0.0004354  0.0002677  0.0000455 -0.0004561  0.0001100 -0.0001683 -0.0005153 -0.0023740 -0.0003516 -0.0002766  0.0057091 -0.0043915 -0.0018370 -0.0012312
5  3 -0.0229988 -0.0181082 -0.0686310  0.0718746 -0.0031378  0.0060789 -0.0084419 -0.0365127  0.0189985 -0.0113949 -0.0211951 -0.0069939 -0.0434898  0.0248517 -0.0054083 -0.0042109  0.0083429 -0.0034760  0.0000468  0.0088441 -0.0454121  0.0076249 -0.0086768 -0.0000407  0.0034844  0.0016176 -0.0012618 -0.0022471  0.0001342  0.0003568 -0.0004549  0.0008273 -0.0016072 -0.0019312  0.0007210  0.0005873  0.0014513 -0.0021799  0.0001655 -0.0000793 -0.0003923  0.0005140  0.0001985 -0.0000497  0.0025109  0.0014384 -0.0002574  0.0000474  0.0237363  0.0001278  0.0093733  0.0000048 -0.0019992  0.0003353  0.0023637  0.0052545 -0.0248114  0.0024569 -0.0069816 -0.0012955 -0.0003954  0.0002027  0.0002337 -0.0003013 -0.0022630 -0.0000420 -0.0002122 -0.0000741  0.0000162 -0.0012316 -0.0000933  0.0001580  0.0001484  0.0004178  0.0000572 -0.0004118
6  0 -0.3520138        NaN -0.0492993        NaN -0.0187586        NaN -0.0701870        NaN  0.1444755        NaN  0.0233690        NaN  0.2228016        NaN  0.0343045        NaN  0.0092030        NaN  0.0924909        NaN -0.0331570        NaN  0.0213561        NaN  0.0002579        NaN  0.0110283        NaN  0.0089247        NaN  0.0016854        NaN  0.0011730        NaN  0.0035730        NaN  0.0007705        NaN  0.0056705        NaN -0.0127197        NaN -0.0003800        NaN  0.0011305        NaN -0.0006543        NaN  0.0263699        NaN -0.0031114        NaN  0.0019768        NaN  0.0561736        NaN -0.0057046        NaN  0.0079983        NaN -0.0008106        NaN  0.0009948        NaN -0.0054127        NaN  0.0000594        NaN  0.0028328        NaN -0.0002660        NaN -0.0037405        NaN  0.0013732        NaN
6  1 -0.0342567 -0.0576500 -0.0988008  0.5181588 -0.2103813  0.0300303 -0.0221396  0.0315083 -0.0126807 -0.0079041 -0.2672584 -0.4899054  0.0085627  0.0275172 -0.1423971 -0.3819208 -0.1074305 -0.0210728  0.0048343 -0.0059986  0.0057649 -0.0006266  0.0628455  0.0798284  0.0747489 -0.0163864  0.0045585 -0.0032344 -0.0004044  0.0021306 -0.0016858 -0.0022896  0.0055110  0.0043451 -0.0007026 -0.0001200  0.0072945  0.0189339 -0.0000334 -0.0003264 -0.0016614 -0.0018854  0.0023730  0.0014379 -0.0039602 -0.0014784  0.0001119 -0.0003754  0.0143912  0.0135273 -0.0215610 -0.0542068 -0.0577101  0.0153122  0.0061410 -0.0096020 -0.0093335 -0.0112980  0.0169862  0.0283111  0.0047098  0.0033062 -0.0000814  0.0002419  0.0013183 -0.0011601  0.0010403  0.0012421  0.0002935 -0.0023512  0.0000212 -0.0001761  0.0041030 -0.0016900 -0.0011475 -0.0033357
6  2 -0.0723077  0.2603973  0.0260916 -0.0138957  0.0129853  0.0255276  0.0397427  0.0059270 -0.0641962 -0.2126122  0.0162212  0.0384748  0.0760588  0.0204728  0.0150678  0.0014803 -0.0009486 -0.0251407 -0.0148066  0.0075638  0.0649093  0.0855224  0.0038744 -0.0076251  0.0009178 -0.0016699  0.0035644 -0.0115720 -0.0036938  0.0013814  0.0003720  0.0003254 -0.0007407  0.0003583 -0.0017627  0.0022981  0.0010997 -0.0016122 -0.0002841 -0.0009544  0.0037758  0.0007601 -0.0003220  0.0000580  0.0015892  0.0025848 -0.0001291 -0.0007748 -0.0408411  0.0407811 -0.0012934 -0.0060119  0.0018726  0.0024869 -0.0076621 -0.0073213  0.0422578 -0.0142588  0.0025238  0.0007068 -0.0010801 -0.0008465  0.0002229 -0.0005679 -0.0009657  0.0011403  0.0000148 -0.0001535 -0.0008984  0.0009957 -0.0001774 -0.0000391  0.0072623 -0.0053351 -0.0004061  0.0001287
