# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Aug 2026
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2026-04).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
18 3  0.0311861 -0.0144084  0.0483925 -0.0607508  0.0289233 -0.0024583 -0.0024969 -0.0007768 -0.0107805 -0.0063499  0.0144934 -0.0237432 -0.0026192 -0.0111340  0.0206002  0.0354969 -0.0095866 -0.0031504  0.0045129  0.0035848  0.0012354  0.0009686  0.0092004  0.0102869 -0.0072153  0.0031871 -0.0014876  0.0013421  0.0024958  0.0003954 -0.0006479  0.0005539  0.0011260  0.0032433  0.0001524 -0.0009023  0.0029143  0.0006340 -0.0000004 -0.0000770  0.0011133 -0.0010286  0.0003960 -0.0004678  0.0012243  0.0003337 -0.0000167  0.0001493  0.0062983  0.0021132 -0.0099644  0.0034970  0.0058174 -0.0048405  0.0000264  0.0012455 -0.0009799 -0.0090157  0.0063978  0.0120331 -0.0027981 -0.0003482  0.0004368 -0.0000707  0.0005077 -0.0000770 -0.0000888  0.0001249  0.0008482 -0.0018263 -0.0002587  0.0002732 -0.0060324  0.0054637 -0.0001014  0.0001351
19 0 -0.0414123        NaN  0.1191291        NaN -0.2165927        NaN  0.0244813        NaN  0.0095325        NaN -0.0193401        NaN  0.0259429        NaN  0.0350724        NaN  0.0936460        NaN -0.0070596        NaN  0.0185536        NaN  0.0507416        NaN  0.0119243        NaN  0.0012349        NaN -0.0020731        NaN  0.0058223        NaN  0.0026213        NaN -0.0001069        NaN  0.0018168        NaN  0.0001069        NaN  0.0011309        NaN -0.0008917        NaN  0.0004876        NaN  0.0001023        NaN -0.0084684        NaN -0.0180645        NaN -0.0292489        NaN -0.0042690        NaN  0.0150332        NaN  0.0208254        NaN  0.0017514        NaN -0.0002131        NaN -0.0000355        NaN  0.0013658        NaN  0.0001066        NaN  0.0001145        NaN  0.0004952        NaN -0.0022272        NaN
19 1  0.0356397  0.1452452 -0.0279982  0.0373162  0.0131237 -0.0331180  0.0337859 -0.0304152 -0.0632472 -0.0219213  0.0116833 -0.0350592 -0.0429475 -0.3067350 -0.0070923  0.0087796 -0.0013956 -0.0012675 -0.0627806  0.0276664  0.0277871 -0.0050485  0.0002234  0.0208861  0.0007440  0.0015100 -0.0004067 -0.0017345 -0.0033551  0.0002955 -0.0003750  0.0003138 -0.0002491 -0.0022690  0.0004449  0.0007011  0.0008512 -0.0007860 -0.0003290  0.0044084  0.0036945  0.0002764 -0.0001934 -0.0000100 -0.0007288  0.0009895  0.0000456  0.0007257 -0.0153136 -0.0245391 -0.0089782 -0.0036186  0.0027281  0.0006652 -0.0481073  0.0137314  0.0057310 -0.0317590  0.0039836  0.0084606  0.0004907  0.0001283  0.0006552 -0.0005204  0.0004895 -0.0000489 -0.0003362  0.0001061 -0.0005050 -0.0011317 -0.0002203  0.0018205  0.0005895 -0.0038803 -0.0001226 -0.0000204
19 2  0.0134741 -0.0110314 -0.0266725  0.0144219  0.0664397 -0.0097103 -0.0087614  0.0115207  0.0163864  0.0026194  0.1293000 -0.0625934  0.0105779 -0.0051728  0.0850992  0.2400054 -0.0307262 -0.0078018  0.0011175 -0.0048050  0.0035293  0.0001385 -0.0329864  0.0844809 -0.0134160  0.0007118 -0.0002254  0.0010718  0.0035686  0.0009903 -0.0005383  0.0002580 -0.0001006  0.0016466  0.0007178  0.0004886  0.0000827 -0.0048554  0.0001436  0.0000305 -0.0018378  0.0021154 -0.0009235 -0.0006220 -0.0017535  0.0006626  0.0000095 -0.0000852 -0.0051678 -0.0088865  0.0020065 -0.0554635 -0.0234137 -0.0065110  0.0026521 -0.0017181  0.0039352  0.0087632  0.0023891  0.0515518 -0.0025651 -0.0069337 -0.0003320 -0.0000280  0.0015586  0.0006241 -0.0001389 -0.0001757  0.0000430 -0.0018985  0.0001732 -0.0000988 -0.0173643  0.0096777  0.0001333  0.0013405
19 3 -0.0283063  0.0062284 -0.0112025  0.0570740  0.0029347 -0.0055376 -0.0223770 -0.0082188  0.0207783  0.0233598  0.0118733 -0.0235172 -0.0026856  0.0151288 -0.0154789 -0.0164760 -0.0008089  0.0027958  0.0141570 -0.0009797 -0.0058527  0.0212376 -0.0127840 -0.0031036 -0.0005458  0.0000509  0.0002623  0.0037966  0.0006441 -0.0011428  0.0004363  0.0002586  0.0004948 -0.0002650 -0.0008781 -0.0049847 -0.0008088  0.0009025  0.0005970  0.0003674 -0.0003930  0.0006142 -0.0000261 -0.0000844 -0.0003642 -0.0009656  0.0002222  0.0014764 -0.0016382 -0.0298416  0.0137567  0.0053386  0.0009297 -0.0005563 -0.0001835  0.0071231  0.0024025  0.0115905 -0.0143120 -0.0024946 -0.0001944  0.0014147  0.0001936 -0.0001601  0.0016740  0.0002273  0.0000179 -0.0000162  0.0003079  0.0006125 -0.0000522  0.0008407 -0.0003201  0.0006612  0.0001039 -0.0000807
20 0  0.0602186        NaN  0.1156256        NaN -0.0169060        NaN  0.2572588        NaN  0.0427617        NaN -0.0080592        NaN -0.0296059        NaN -0.0098923        NaN  0.0023528        NaN -0.1026980        NaN -0.0152578        NaN -0.0014003        NaN  0.0001664        NaN -0.0049251        NaN -0.0048415        NaN  0.0013781        NaN -0.0011718        NaN  0.0018122        NaN  0.0012126        NaN -0.0011572        NaN  0.0026069        NaN -0.0001401        NaN -0.0005410        NaN -0.0012152        NaN -0.0068531        NaN  0.0007617        NaN -0.0016589        NaN  0.0073736        NaN -0.0049684        NaN -0.0012102        NaN -0.0006973        NaN  0.0002944        NaN -0.0001879        NaN -0.0001198        NaN -0.0004839        NaN -0.0006459        NaN  0.0017535        NaN -0.0001182        NaN
20 1  0.0386352  0.0051821  0.0974929 -0.0275276  0.0403059  0.0404897 -0.0165956  0.0166959 -0.0249942 -0.0214609 -0.0155206 -0.0929142 -0.0104438 -0.0101619  0.1129960  0.2768334  0.0546368 -0.0168678 -0.0036527  0.0039598 -0.0054282  0.0164837  0.0492674  0.1074430 -0.0233573  0.0054486 -0.0010851 -0.0001117  0.0042553  0.0004935  0.0028494 -0.0019544 -0.0014987  0.0062971  0.0001023  0.0002353 -0.0043324  0.0001116  0.0000246 -0.0000752  0.0040070  0.0062935 -0.0038679  0.0001558  0.0020909 -0.0004905 -0.0002796  0.0000745  0.0081281 -0.0098721 -0.0223214 -0.0550115  0.0668067 -0.0047444 -0.0062656  0.0063367 -0.0087164  0.0078866  0.0422933  0.1055910 -0.0060506  0.0024118 -0.0003150  0.0000780 -0.0006617  0.0033908 -0.0021777  0.0001792 -0.0017597  0.0015976  0.0002286  0.0001142 -0.0072020 -0.0020280  0.0013440  0.0015331
20 2 -0.0262945 -0.2293951  0.0494916  0.0944622 -0.0055526 -0.0159963 -0.0874977 -0.0223713 -0.0035071  0.1546934 -0.0275896 -0.0117765 -0.0714342 -0.1443106 -0.0163572 -0.0524597 -0.0004698  0.0078058  0.0381809  0.0082906 -0.0150467 -0.0996019  0.0035732 -0.0340536 -0.0001035  0.0020865 -0.0021066  0.0100467  0.0013547  0.0004318 -0.0016790 -0.0001331 -0.0000157 -0.0020005  0.0006072 -0.0056142  0.0002441  0.0008584  0.0011611  0.0025688 -0.0009858 -0.0008680  0.0004366 -0.0000407 -0.0003772 -0.0019614  0.0001678  0.0032954  0.0005851  0.0336272  0.0030670  0.0285178 -0.0055578  0.0003256  0.0231464  0.0033378 -0.0086693 -0.0081123 -0.0058316 -0.0367722  0.0009053  0.0007339 -0.0002003 -0.0014780 -0.0025455 -0.0006585  0.0001672  0.0000547  0.0005926 -0.0004402  0.0006004  0.0008667 -0.0014335  0.0068055  0.0001586 -0.0003070
20 3 -0.0226407  0.0099348 -0.0771737  0.0647102  0.0010655 -0.0015054  0.0086635  0.0036885 -0.0161981 -0.0003023 -0.0307285 -0.0609728 -0.0028086 -0.0040899  0.0188110  0.0235576 -0.0182251  0.0071027  0.0009820  0.0007496  0.0081946 -0.0068732  0.0332290  0.0062674  0.0013729 -0.0063232  0.0007014 -0.0006764 -0.0024315 -0.0008356 -0.0007781  0.0012582  0.0016601  0.0044475 -0.0003659 -0.0002149 -0.0033245 -0.0009688 -0.0000320  0.0002685 -0.0011545  0.0012240  0.0006743 -0.0009478 -0.0007333 -0.0028723  0.0001706  0.0003853 -0.0057286  0.0063062 -0.0167092  0.0104967  0.0005031  0.0003952 -0.0004363  0.0021863  0.0010686 -0.0058915  0.0177668  0.0074898  0.0019617  0.0010554  0.0000312 -0.0004527 -0.0006148  0.0001520 -0.0000893 -0.0000636 -0.0001371  0.0000893  0.0001326  0.0005741  0.0055705 -0.0049680  0.0000604  0.0001184
21 0  0.0005417        NaN  0.1188192        NaN -0.1905040        NaN  0.0288889        NaN -0.0069460        NaN -0.0541727        NaN  0.0152436        NaN  0.0124756        NaN  0.1137393        NaN -0.0111718        NaN  0.0109926        NaN  0.0682540        NaN -0.0050869        NaN -0.0001832        NaN  0.0012114        NaN  0.0053161        NaN -0.0009016        NaN -0.0005248        NaN  0.0024154        NaN  0.0002896        NaN -0.0019040        NaN -0.0014540        NaN  0.0014289        NaN  0.0008353        NaN -0.0071361        NaN -0.0209188        NaN -0.0057573        NaN -0.0069728        NaN  0.0057595        NaN  0.0319834        NaN -0.0039810        NaN -0.0005692        NaN  0.0000584        NaN  0.0008761        NaN  0.0021840        NaN  0.0004783        NaN -0.0007366        NaN  0.0011299        NaN
21 1 -0.0797965 -0.1966097 -0.0375333  0.0589959  0.0196062 -0.0385825 -0.0036492 -0.0437143 -0.0105266  0.2520409  0.0204656 -0.0346782 -0.0265141 -0.1889090  0.0037582 -0.0117515  0.0003067  0.0077917 -0.0500041  0.0085211 -0.0013183 -0.1125927  0.0073349  0.0050815  0.0005117  0.0029827  0.0021458  0.0101469 -0.0011382  0.0018810 -0.0008080  0.0004872  0.0001080 -0.0015164 -0.0006448 -0.0041751 -0.0014822 -0.0008247 -0.0005807  0.0034858  0.0027366 -0.0001386  0.0000640 -0.0000683  0.0001826 -0.0008944  0.0009500  0.0022295  0.0009962 -0.0053539 -0.0151298  0.0116780  0.0001549  0.0001345 -0.0483271  0.0034361 -0.0051521 -0.0450321  0.0111251 -0.0084671  0.0001270  0.0012650 -0.0006484 -0.0009122  0.0045748  0.0001014 -0.0002476  0.0001160 -0.0005267  0.0000288  0.0007236  0.0023662 -0.0004765  0.0007659  0.0003418 -0.0001635
21 2 -0.0234579  0.0090725 -0.0318994  0.4033677  0.0571546  0.0032086 -0.0047357  0.0169855  0.0035702  0.0019864 -0.0581441 -0.2565622  0.0134444 -0.0094909  0.0715755  0.1681867 -0.0398634  0.0008582 -0.0006600 -0.0069687  0.0065713 -0.0015700  0.0294016  0.1372058  0.0021444 -0.0107782  0.0016836 -0.0012058 -0.0031266 -0.0002973 -0.0028071  0.0004095  0.0048800  0.0083744  0.0000770  0.0012028 -0.0041799  0.0027233  0.0002087 -0.0001873  0.0017899 -0.0020668  0.0000998 -0.0006420 -0.0002323 -0.0056279  0.0002864 -0.0002058 -0.0063984 -0.0060855 -0.0137554 -0.0664087 -0.0273583  0.0013018  0.0028093 -0.0022577  0.0079706  0.0048547  0.0289457  0.0550943  0.0027816  0.0079789 -0.0005116 -0.0001877 -0.0022036 -0.0008145  0.0002018 -0.0002704 -0.0010380  0.0034688  0.0003883 -0.0001357  0.0169729 -0.0093003 -0.0013599  0.0000305
21 3 -0.0324877 -0.0259886 -0.0380705  0.0009263  0.0028745 -0.0119909 -0.0234220 -0.0087737  0.0251412  0.0514802  0.0220675 -0.0153974  0.0063227  0.0115541 -0.0103986 -0.0134049 -0.0005249  0.0018929  0.0190342 -0.0011690 -0.0054473  0.0185561 -0.0130918 -0.0049449  0.0005804  0.0008937  0.0009291  0.0034443 -0.0007032 -0.0005863  0.0005474  0.0002087 -0.0003400  0.0000643 -0.0025851 -0.0046039  0.0004068 -0.0009403  0.0001831 -0.0009891 -0.0009001  0.0003274 -0.0000372 -0.0000798 -0.0004955  0.0007177  0.0005667  0.0007775 -0.0002534 -0.0310065  0.0100866  0.0064385  0.0000973  0.0013749  0.0012477  0.0084270  0.0027141  0.0126796 -0.0104881 -0.0009979  0.0004643 -0.0012718  0.0001072  0.0001551 -0.0012354 -0.0004555 -0.0000734  0.0000345 -0.0006138 -0.0009525  0.0000271  0.0004248  0.0000705 -0.0011541  0.0000772 -0.0003141
22 0  0.0167687        NaN  0.0588378        NaN -0.0185837        NaN  0.2143077        NaN  0.0716568        NaN  0.0277279        NaN -0.0049739        NaN -0.0096090        NaN  0.0063373        NaN -0.1120585        NaN -0.0282810        NaN -0.0131632        NaN -0.0003400        NaN -0.0052297        NaN -0.0033948        NaN  0.0013577        NaN  0.0001262        NaN  0.0014400        NaN -0.0016290        NaN -0.0006723        NaN  0.0024418        NaN -0.0003472        NaN -0.0000113        NaN -0.0015850        NaN  0.0023081        NaN  0.0001144        NaN -0.0015148        NaN -0.0096159        NaN -0.0134459        NaN -0.0065863        NaN  0.0014626        NaN  0.0004796        NaN -0.0022722        NaN -0.0001962        NaN -0.0002979        NaN -0.0005852        NaN -0.0008548        NaN -0.0000539        NaN
22 1  0.0345888  0.0218390  0.1868633  0.4423570  0.0638588 -0.0244404 -0.0434219  0.0331913 -0.0096720 -0.0140025 -0.2246577 -0.4078817 -0.0159700 -0.0022334  0.0351703  0.1465353  0.0399100  0.0041780  0.0094384 -0.0048166 -0.0026125  0.0057264  0.1176155  0.2048966  0.0062285 -0.0196799  0.0013114 -0.0012256 -0.0024798 -0.0025389 -0.0017346 -0.0021812  0.0057005  0.0077026  0.0000605  0.0011219  0.0022019 -0.0030574  0.0003238 -0.0004968 -0.0042009 -0.0058599 -0.0016339  0.0007119 -0.0046799 -0.0013497  0.0004098 -0.0006947  0.0067111 -0.0088239 -0.0330890 -0.0791906  0.0579613 -0.0040886 -0.0044268  0.0028611 -0.0063801  0.0080515  0.0576314  0.1250366  0.0072956 -0.0054954 -0.0005763  0.0005696  0.0005627 -0.0030753 -0.0019089  0.0001925 -0.0000408 -0.0016993  0.0004666 -0.0005150  0.0068878  0.0027538 -0.0024030  0.0005245
22 2 -0.0767332 -0.3314587  0.0294428  0.0392369 -0.0107393 -0.0151356 -0.0778232 -0.0156130  0.0651923  0.2106236 -0.0105036  0.0171111 -0.0506902 -0.0464535 -0.0124302 -0.0570206  0.0018057  0.0067580  0.0427124 -0.0022212 -0.0408647 -0.0845391  0.0038114 -0.0461665  0.0009032  0.0008699 -0.0001331  0.0064920  0.0032503  0.0022422 -0.0017785  0.0000418 -0.0003441  0.0002039 -0.0015968 -0.0049771 -0.0001628 -0.0021685  0.0012308  0.0010163 -0.0002269  0.0007984  0.0005496 -0.0001119  0.0001830  0.0009619  0.0010913  0.0027000  0.0070265  0.0102442  0.0009638  0.0287182 -0.0035366  0.0015133  0.0226359  0.0041990 -0.0129594  0.0223500 -0.0043442 -0.0371610 -0.0008234 -0.0000756 -0.0007059 -0.0009326  0.0021094  0.0005568  0.0002272  0.0000274 -0.0004971 -0.0002974  0.0010999 -0.0000940  0.0011865 -0.0076905 -0.0002581 -0.0006262
22 3  0.0292604 -0.0106330  0.0686292  0.0645396  0.0092689 -0.0201688  0.0123752 -0.0056874 -0.0009119  0.0001260 -0.0556321 -0.1004168  0.0017067 -0.0013160 -0.0007966 -0.0147124 -0.0112484  0.0018211 -0.0024729  0.0007554  0.0025625 -0.0008177  0.0392628 -0.0040402 -0.0057416 -0.0000472 -0.0006382  0.0002716  0.0024321 -0.0002486 -0.0001100  0.0006964  0.0027078  0.0029059  0.0002697 -0.0002481  0.0038119  0.0019917 -0.0006398  0.0007408  0.0011266 -0.0012606  0.0007760 -0.0011459 -0.0005444  0.0005146 -0.0005980  0.0007906  0.0024659  0.0007122 -0.0143060  0.0238752  0.0025406 -0.0033944 -0.0008877  0.0020475  0.0000952 -0.0025548  0.0130753 -0.0063581 -0.0017246 -0.0001900  0.0004403 -0.0007145  0.0007958 -0.0000619 -0.0001427 -0.0000244 -0.0001565 -0.0024675 -0.0004550  0.0009135 -0.0047506  0.0046541  0.0000280  0.0000677
23 0 -0.0048273        NaN  0.0291551        NaN -0.1208369        NaN  0.0131578        NaN -0.0149898        NaN -0.0638951        NaN  0.0003052        NaN  0.0029252        NaN  0.1039226        NaN -0.0074077        NaN  0.0028519        NaN  0.0595617        NaN  0.0076443        NaN  0.0007025        NaN -0.0015747        NaN  0.0047990        NaN  0.0003206        NaN -0.0002483        NaN  0.0001275        NaN  0.0002406        NaN  0.0017547        NaN -0.0018038        NaN  0.0011054        NaN  0.0009950        NaN  0.0027219        NaN -0.0074098        NaN  0.0203500        NaN -0.0091876        NaN  0.0030938        NaN  0.0256071        NaN  0.0020906        NaN -0.0004819        NaN -0.0006971        NaN  0.0002999        NaN -0.0001413        NaN  0.0003471        NaN  0.0010917        NaN -0.0015018        NaN
23 1 -0.0840530 -0.4676195 -0.0420566  0.0696153  0.0188560 -0.0344371 -0.0603782 -0.0010287  0.0242200  0.3789304  0.0247578 -0.0163500  0.0001108 -0.0331443  0.0286060 -0.0280423 -0.0000777  0.0089418 -0.0420484  0.0085861 -0.0225637 -0.1464649  0.0228952 -0.0134279  0.0008664  0.0005000  0.0000581  0.0092071  0.0026717  0.0013280 -0.0015685  0.0001838 -0.0007964  0.0000567 -0.0016486 -0.0062759  0.0004814 -0.0012829 -0.0000424  0.0013044  0.0006624 -0.0013016  0.0003969 -0.0001115 -0.0000583 -0.0004989  0.0014162  0.0025706  0.0095483  0.0021591 -0.0266041  0.0186559  0.0000253  0.0012563 -0.0478301  0.0027392 -0.0106652 -0.0318619  0.0253174 -0.0204372  0.0001320 -0.0001462 -0.0008875 -0.0006235  0.0007001 -0.0006101 -0.0000785  0.0000285  0.0004308 -0.0014829  0.0011167  0.0016906  0.0000162 -0.0037493 -0.0000481 -0.0002559
23 2  0.0333144  0.0092123  0.2060575  0.4828212  0.0593257 -0.0212778  0.0004415  0.0055612 -0.0029357  0.0051533 -0.1858586 -0.3833454  0.0047356 -0.0059311  0.0210483  0.0324682 -0.0371810  0.0027218 -0.0019215 -0.0034116  0.0007410 -0.0035006  0.0650170  0.1503824 -0.0072980 -0.0028877 -0.0003876 -0.0000091  0.0029387  0.0006558 -0.0038911 -0.0010279  0.0027691  0.0016483 -0.0003806  0.0004757  0.0034943 -0.0030111 -0.0001049 -0.0004631 -0.0018075  0.0020509  0.0009134 -0.0003945 -0.0015737  0.0010567  0.0000269 -0.0004206 -0.0002374 -0.0007872 -0.0286915 -0.0572247 -0.0276454 -0.0026915  0.0021187 -0.0030488 -0.0000847  0.0022527  0.0386955  0.0350025 -0.0026407 -0.0076001 -0.0000699  0.0001111  0.0020075  0.0006363  0.0005629  0.0000431  0.0007392 -0.0026662 -0.0000102 -0.0003365 -0.0163090  0.0088623  0.0006222  0.0000759
23 3 -0.0521549 -0.0624890 -0.0065779 -0.0022010  0.0028780 -0.0074202  0.0030565 -0.0021435  0.0215082  0.0610272  0.0290820  0.0074103  0.0169810  0.0315305 -0.0169232 -0.0070445  0.0019855  0.0027067  0.0176615 -0.0021380 -0.0093781  0.0129856 -0.0234148 -0.0050320  0.0005793  0.0003677  0.0024731  0.0067148 -0.0007377 -0.0007735  0.0012021 -0.0001659 -0.0005965 -0.0002075 -0.0029735 -0.0034989 -0.0004344  0.0006701 -0.0000359 -0.0026601  0.0003579  0.0010358 -0.0002530  0.0000069  0.0008130 -0.0002306  0.0011669 -0.0007236 -0.0007267 -0.0281465  0.0137832  0.0022102  0.0009218  0.0012156 -0.0011885  0.0058663  0.0037582  0.0069072 -0.0171947  0.0010710 -0.0003717  0.0016722 -0.0003099  0.0010392  0.0012555  0.0005697 -0.0000773  0.0000946  0.0003651  0.0005352  0.0004298 -0.0007065 -0.0000907  0.0008618  0.0001400  0.0000616
24 0 -0.0307862        NaN  0.0117533        NaN -0.0134856        NaN  0.1409281        NaN  0.0718508        NaN  0.0422012        NaN  0.0088154        NaN -0.0009550        NaN  0.0048916        NaN -0.0937646        NaN -0.0295796        NaN -0.0120217        NaN  0.0007603        NaN -0.0039946        NaN -0.0011712        NaN  0.0011355        NaN -0.0008903        NaN  0.0012809        NaN  0.0008732        NaN  0.0000505        NaN  0.0018708        NaN -0.0004410        NaN -0.0006517        NaN -0.0014147        NaN  0.0045231        NaN -0.0043985        NaN -0.0008058        NaN -0.0200262        NaN -0.0157694        NaN -0.0030376        NaN -0.0008198        NaN  0.0004681        NaN  0.0020751        NaN -0.0002509        NaN  0.0000919        NaN -0.0004508        NaN  0.0003485        NaN -0.0001621        NaN
24 1  0.0101390 -0.0183103  0.2436574  0.5255814  0.0924771  0.0110146 -0.0513514  0.0284928 -0.0148497  0.0039532 -0.2446988 -0.4830238 -0.0151315  0.0011952 -0.0434157 -0.0087568 -0.0080631 -0.0185222  0.0145297 -0.0076212 -0.0052258  0.0014618  0.1067179  0.1924150 -0.0086250 -0.0061292 -0.0007634 -0.0002374  0.0034981  0.0006532 -0.0047653 -0.0025694 -0.0002318  0.0041581 -0.0004790  0.0008273 -0.0020923  0.0037794  0.0005390 -0.0004042  0.0040837  0.0062326  0.0001295  0.0008435  0.0013006 -0.0011828  0.0008500 -0.0008786  0.0076687 -0.0028144 -0.0347724 -0.0587246  0.0479999 -0.0115901  0.0005957  0.0007281 -0.0079695  0.0022201  0.0477623  0.0880888 -0.0045583  0.0038331 -0.0007040  0.0008721 -0.0004129  0.0034537 -0.0015837  0.0003506 -0.0025011  0.0016247  0.0007430 -0.0007912 -0.0067895 -0.0032969  0.0017127  0.0009784
24 2 -0.1395121 -0.3226802  0.0095476  0.0053405 -0.0094604 -0.0016926 -0.0436850  0.0131579  0.1108631  0.1832699  0.0114370  0.0418232 -0.0142481  0.0591372 -0.0175977 -0.0430866  0.0025369  0.0047500  0.0335017 -0.0168407 -0.0536369 -0.0583714 -0.0102799 -0.0475150  0.0006477  0.0016415  0.0020762  0.0104042  0.0034657  0.0006961 -0.0014063  0.0006300 -0.0002172 -0.0011051 -0.0034093 -0.0036893  0.0003941  0.0004733  0.0005231  0.0000273 -0.0018928 -0.0009724  0.0004137 -0.0002678  0.0001623 -0.0013328  0.0015319  0.0020670  0.0103701 -0.0024805  0.0057231  0.0255177 -0.0025215  0.0005571  0.0201814 -0.0007656 -0.0107573  0.0383685 -0.0110989 -0.0320558  0.0005602  0.0006076 -0.0009388 -0.0003478 -0.0041051 -0.0005151  0.0003336  0.0000113  0.0003670 -0.0001953  0.0013030 -0.0008011 -0.0008389  0.0077746  0.0001254 -0.0003904
24 3 -0.0047320  0.0082315 -0.0029916  0.1766227 -0.0269563 -0.0036507  0.0142356  0.0043275 -0.0105775  0.0038830 -0.0751377 -0.1025969  0.0016784 -0.0013013 -0.0154739 -0.0612923 -0.0110917  0.0075907 -0.0045189 -0.0015975  0.0054433 -0.0074066  0.0396057 -0.0179897 -0.0031679 -0.0042347  0.0002512 -0.0015891 -0.0018109  0.0000136  0.0001531  0.0005307  0.0023444  0.0019813  0.0006231  0.0009541 -0.0026258  0.0010844 -0.0008338  0.0007557 -0.0011039  0.0013938  0.0007538 -0.0009308 -0.0009440 -0.0002061 -0.0009861  0.0005085 -0.0008815 -0.0005258 -0.0108087  0.0309059  0.0042565 -0.0011434  0.0001950  0.0010073  0.0007431 -0.0022595  0.0103660 -0.0167304  0.0020456 -0.0003215  0.0005209 -0.0005906 -0.0010124  0.0002220 -0.0001017 -0.0001158 -0.0003294  0.0020408 -0.0005787  0.0006546  0.0039531 -0.0041695 -0.0001699  0.0000012
25 0  0.0216124        NaN -0.0042351        NaN -0.0341234        NaN -0.0019103        NaN -0.0254716        NaN -0.0232992        NaN -0.0047624        NaN -0.0011994        NaN  0.0613486        NaN -0.0071288        NaN  0.0016870        NaN  0.0239841        NaN -0.0019178        NaN -0.0007503        NaN -0.0000011        NaN  0.0036110        NaN -0.0025563        NaN -0.0000788        NaN  0.0012107        NaN -0.0000721        NaN -0.0015201        NaN -0.0021073        NaN  0.0014028        NaN  0.0005182        NaN  0.0041893        NaN -0.0052701        NaN  0.0277579        NaN -0.0047232        NaN -0.0020555        NaN  0.0173653        NaN -0.0028824        NaN -0.0003227        NaN  0.0008103        NaN -0.0001895        NaN  0.0008963        NaN  0.0002170        NaN -0.0010988        NaN  0.0017867        NaN
25 1 -0.0719814 -0.5204065 -0.0135125  0.0518374  0.0136682 -0.0203989 -0.1170605 -0.0057488  0.0316969  0.3201936  0.0287447  0.0119013  0.0184440  0.1016321  0.0251572 -0.0306756  0.0026182  0.0104670 -0.0043477 -0.0127406 -0.0287194 -0.1164257  0.0144911 -0.0247903 -0.0007501  0.0004637  0.0014264  0.0154173  0.0042047  0.0011652 -0.0021252  0.0003453  0.0003321  0.0004001 -0.0006601 -0.0068718 -0.0009000 -0.0005768  0.0003076 -0.0008684 -0.0005154 -0.0001179  0.0006757 -0.0001582  0.0001191 -0.0003804  0.0015711  0.0020361  0.0161167 -0.0014649 -0.0204394  0.0196499 -0.0013282  0.0002749 -0.0377685 -0.0051911 -0.0122880 -0.0066622  0.0178453 -0.0249534  0.0000756  0.0011431 -0.0018036 -0.0000855  0.0028874 -0.0002017  0.0000922  0.0000842 -0.0008088  0.0002999  0.0016872  0.0009901  0.0004762  0.0021863  0.0001558 -0.0003276
